NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR,JENJANG,Unnamed: 0,BENTUK PENDIDIKAN,WAKTU PENYELENGGARAAN,AKREDITASI_CLEAN,QUALITY_SCORE
SMAN 1 BALEENDAH,20206151,SMA,-,Baleendah,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375.0,-7.0008,107.6226,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 BANJARAN,20251791,SMA,Neglasari,Ciapus,Kec. Banjaran,Kab. Bandung,Prov. Jawa Barat,40377.0,-7.0532,107.5895,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 BOJONGSOANG,20227903,SMA,-,Tegalluar,Kec. Bojongsoang,Kab. Bandung,Prov. Jawa Barat,40297.0,-6.9809,107.6825,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 CICALENGKA,20251792,SMA,-,Babakanpeuteuy,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395.0,-6.9838,107.842,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 CIKANCUNG,20227904,SMA,-,Cihanyir,Kec. Cikancung,Kab. Bandung,Prov. Jawa Barat,40396.0,-7.026,107.8154,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAN 1 CILEUNYI,20251793,SMA,CIBIRU WETAN,Cibiru Wetan,Kec. Cileunyi,Kab. Bandung,Prov. Jawa Barat,40625.0,-6.94,107.7233,NEGERI,A,Ada,Ada,Air kemasan,Cukup,SMA,,,,A,100
SMAN 1 CIPARAY,20206145,SMA,Cipaku,Pakutandang,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381.0,-7.0537,107.7093,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 1 CIWIDEY,20206213,SMA,Panyocokan,Panyocokan,Kec. Ciwidey,Kab. Bandung,Prov. Jawa Barat,40973.0,-7.0985,107.465,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAN 1 DAYEUHKOLOT,20227889,SMA,-,Sukapura,Kec. Dayeuhkolot,Kab. Bandung,Prov. Jawa Barat,40267.0,-6.9685,107.6341,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 KATAPANG,20227905,SMA,-,Banyusari,Kec. Katapang,Kab. Bandung,Prov. Jawa Barat,40971.0,-7.0081783,107.5576516,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 KERTASARI,20227906,SMA,,RESMI TINGGAL,Kec. Kertasari,Kab. Bandung,Prov. Jawa Barat,40386.0,-7.1541,107.6982,NEGERI,A,Ada,Ada,Mata air terlindungi,Cukup,SMA,,,,A,100
SMAN 1 MAJALAYA,20206210,SMA,Panyadap,Panyadap,Kec. Solokanjeruk,Kab. Bandung,Prov. Jawa Barat,40376.0,-7.0297,107.7698,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 1 MARGAASIH,20227907,SMA,-,Mekar Rahayu,Kec. Margaasih,Kab. Bandung,Prov. Jawa Barat,40218.0,-6.9712,107.5487,NEGERI,A,Ada,Tidak ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 MARGAHAYU,20206209,SMA,-,Sulaeman,Kec. Margahayu,Kab. Bandung,Prov. Jawa Barat,40226.0,-6.9764,107.5683,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 NAGREG,20227900,SMA,Kp. Gamblung,NAGREG KENDAN,Kec. Nagreg,Kab. Bandung,Prov. Jawa Barat,40397.0,-7.0186,107.8904,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMAN 1 PANGALENGAN,20206207,SMA,TUGUMULYA,Margamulya,Kec. Pangalengan,Kab. Bandung,Prov. Jawa Barat,40378.0,-7.1713,107.5682,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 1 RANCAEKEK,20254054,SMA,Bojong Jati,Bojongloa,Kec. Rancaekek,Kab. Bandung,Prov. Jawa Barat,40394.0,-6.96,107.7657,NEGERI,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMAN 1 SOREANG,20206205,SMA,-,Soreang,Kec. Soreang,Kab. Bandung,Prov. Jawa Barat,40911.0,-7.034485,107.5394483,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMAN 2 MAJALAYA,20254167,SMA,Wangisagara,Wangisagara,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382.0,-7.0785,107.7366,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA ‘AISYIYAH BOARDING SCHOOL BANDUNG,70038412,SMA,,Baleendah,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375.0,-7.0227,107.6698,SWASTA,BELUM AKREDITASI,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,TT,20
SMA AL AMANAH CIWIDEY,20227813,SMA,-,Ciwidey,Kec. Ciwidey,Kab. Bandung,Prov. Jawa Barat,40973.0,-7.103,107.4627,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA AL MASUDIYAH MARGAASIH,20227820,SMA,CIGONDEWAH HILIR,Cigondewah Hilir,Kec. Margaasih,Kab. Bandung,Prov. Jawa Barat,40215.0,-6.944,107.5559,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,B,75
SMA AL-FALAH BANJARAN,20227911,SMA,Kacakacadua,Pasirmulya,Kec. Banjaran,Kab. Bandung,Prov. Jawa Barat,40377.0,-7.0808,107.582,SWASTA,B,Ada,Ada,Air sungai,Kurang,SMA,,,,B,75
SMA AL-HIDAYAH CIPARAY,20227821,SMA,Sutam,Sumbersari,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381.0,-7.0049,107.7161,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMA AL-HUDA ARJASARI,20227819,SMA,-,Pinggirsari,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40379.0,-7.074,107.6567,SWASTA,A,Ada,Ada,Mata air terlindungi,Cukup,SMA,,,,A,100
SMA AL-QONAAH BALEENDAH,20256637,SMA,-,Jelekong,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375.0,-7.0264,107.6554,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA AMS PAMEUNGPEUK,20227818,SMA,-,Sukasari,Kec. Pameungpeuk,Kab. Bandung,Prov. Jawa Barat,40376.0,-7.0196,107.5959,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,B,75
SMA ANGKASA MARGAHAYU,20227822,SMA,-,Sulaeman,Kec. Margahayu,Kab. Bandung,Prov. Jawa Barat,40229.0,-6.982715,107.5634466,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA ASH-SHOPA MAJALAYA,20227919,SMA,-,Biru,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382.0,-7.051,107.7327,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,B,75
SMA ASSALAM DAYEUHKOLOT,20206171,SMA,Situtarate,Cangkuang Kulon,Kec. Dayeuhkolot,Kab. Bandung,Prov. Jawa Barat,40239.0,-6.9665,107.5926,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA ASY-SYUJAIYYAH CIWIDEY,20227823,SMA,Kp. Neglasari Desa Sukawening,Sukawening,Kec. Ciwidey,Kab. Bandung,Prov. Jawa Barat,40973.0,-7.0738,107.4679,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,B,75
SMA AULIA MAJALAYA,20227824,SMA,-,Majalaya,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382.0,-7.0543,107.7617,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
