NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
SMAN 1 BALEENDAH,20206151,Baleendah,Kec. Baleendah,Kab. Bandung,40375,-7.0008,107.6226,NEGERI,A
SMAN 1 BANJARAN,20251791,Ciapus,Kec. Banjaran,Kab. Bandung,40377,-7.0532,107.5895,NEGERI,A
SMAN 1 BOJONGSOANG,20227903,Tegalluar,Kec. Bojongsoang,Kab. Bandung,40297,-6.9809,107.6825,NEGERI,A
SMAN 1 CICALENGKA,20251792,Babakanpeuteuy,Kec. Cicalengka,Kab. Bandung,40395,-6.9838,107.842,NEGERI,A
SMAN 1 CIKANCUNG,20227904,Cihanyir,Kec. Cikancung,Kab. Bandung,40396,-7.026,107.8154,NEGERI,A
SMAN 1 CILEUNYI,20251793,Cibiru Wetan,Kec. Cileunyi,Kab. Bandung,40625,-6.94,107.7233,NEGERI,A
SMAN 1 CIPARAY,20206145,Pakutandang,Kec. Ciparay,Kab. Bandung,40381,-7.0537,107.7093,NEGERI,A
SMAN 1 CIWIDEY,20206213,Panyocokan,Kec. Ciwidey,Kab. Bandung,40973,-7.0985,107.465,NEGERI,A
SMAN 1 DAYEUHKOLOT,20227889,Sukapura,Kec. Dayeuhkolot,Kab. Bandung,40267,-6.9685,107.6341,NEGERI,A
SMAN 1 KATAPANG,20227905,Banyusari,Kec. Katapang,Kab. Bandung,40971,-7.0081783,107.5576516,NEGERI,A
SMAN 1 KERTASARI,20227906,RESMI TINGGAL,Kec. Kertasari,Kab. Bandung,40386,-7.1541,107.6982,NEGERI,A
SMAN 1 MAJALAYA,20206210,Panyadap,Kec. Solokanjeruk,Kab. Bandung,40376,-7.0297,107.7698,NEGERI,A
SMAN 1 MARGAASIH,20227907,Mekar Rahayu,Kec. Margaasih,Kab. Bandung,40218,-6.9712,107.5487,NEGERI,A
SMAN 1 MARGAHAYU,20206209,Sulaeman,Kec. Margahayu,Kab. Bandung,40226,-6.9764,107.5683,NEGERI,A
SMAN 1 NAGREG,20227900,NAGREG KENDAN,Kec. Nagreg,Kab. Bandung,40397,-7.0186,107.8904,NEGERI,A
SMAN 1 PANGALENGAN,20206207,Margamulya,Kec. Pangalengan,Kab. Bandung,40378,-7.1713,107.5682,NEGERI,A
SMAN 1 RANCAEKEK,20254054,Bojongloa,Kec. Rancaekek,Kab. Bandung,40394,-6.96,107.7657,NEGERI,A
SMAN 1 SOREANG,20206205,Soreang,Kec. Soreang,Kab. Bandung,40911,-7.034485,107.5394483,NEGERI,A
SMAN 2 MAJALAYA,20254167,Wangisagara,Kec. Majalaya,Kab. Bandung,40382,-7.0785,107.7366,NEGERI,A
SMA ‘AISYIYAH BOARDING SCHOOL BANDUNG,70038412,Baleendah,Kec. Baleendah,Kab. Bandung,40375,-7.0227,107.6698,SWASTA,Belum/Tidak Terakreditasi
SMA AL AMANAH CIWIDEY,20227813,Ciwidey,Kec. Ciwidey,Kab. Bandung,40973,-7.103,107.4627,SWASTA,A
SMA AL MASUDIYAH MARGAASIH,20227820,Cigondewah Hilir,Kec. Margaasih,Kab. Bandung,40215,-6.944,107.5559,SWASTA,B
SMA AL-FALAH BANJARAN,20227911,Pasirmulya,Kec. Banjaran,Kab. Bandung,40377,-7.0808,107.582,SWASTA,B
SMA AL-HIDAYAH CIPARAY,20227821,Sumbersari,Kec. Ciparay,Kab. Bandung,40381,-7.0049,107.7161,SWASTA,B
SMA AL-HUDA ARJASARI,20227819,Pinggirsari,Kec. Arjasari,Kab. Bandung,40379,-7.074,107.6567,SWASTA,A
