Unnamed: 0,NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
,SMK PUTRA PANJALU,69965478,Panjalu,Kec. Panjalu,Kab. Ciamis,46264,-7.1436,108.2779,SWASTA,A
,SMKN 1 PURWAKARTA,20217367,Babakancikao,Kec. Babakancikao,Kab. Purwakarta,41151,-6.5147,107.4296,NEGERI,A
,SMK PGRI LEMBANG,20267648,Jayagiri,Kec. Lembang,Kab. Bandung Barat,40791,-6.8106,107.6208,SWASTA,B
,SMKS POLIMEDIK,20267942,Kalimulya,Kec. Cilodong,Kota Depok,16413,-6.4435,106.8134,SWASTA,B
,SMK PERTIWI KUNINGAN,20212908,KRAMATMULYA,Kec. Kramatmulya,Kab. Kuningan,45521,-6.9506,108.489,SWASTA,A
,SMKS BINA WARGA 1 BOGOR,20220287,Tanahbaru,Kec. Kota Bogor Utara,Kota Bogor,16154,-6.5537,106.8256,SWASTA,A
,SMKS TRI DHARMA 1 BOGOR,20220305,Kebonpedes,Kec. Tanah Sareal,Kota Bogor,16162,-6.5661,106.7987,SWASTA,B
,SMKS GARUDA NUSANTARA,20276431,Pasirsari,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.3006,107.1445,SWASTA,A
,SMKS PGRI TAMBUN SELATAN,20218350,Tambun,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2666,107.0667,SWASTA,B
,SMK BAKTI NUSA,70028590,Sukamantri,Kec. Tamansari,Kab. Bogor,16116,-6.6483,106.7732,SWASTA,A
,SMKN CAMPAKA,69849083,Cijunti,Kec. Campaka,Kab. Purwakarta,41181,-6.4357,107.5233,NEGERI,B
,SMK EKA NUSA PUTRA,70025861,Pangumbahan,Kec. Ciracap,Kab. Sukabumi,43176,-7.3292,106.432,SWASTA,B
,SMKS YKTB 2 BOGOR,20220293,Menteng,Kec. Kota Bogor Barat,Kota Bogor,16111,-6.5894,106.7858,SWASTA,B
,SMKN 1 BONGAS,20233759,Margamulya,Kec. Bongas,Kab. Indramayu,45255,-6.3811,108.0307,NEGERI,A
,SMKN 2 BANJAR,20229665,Purwaharja,Kec. Purwaharja,Kota Banjar,46331,-7.360291,108.529503,NEGERI,A
,SMKN 4 BOGOR,20258095,Muarasari,Kec. Kota Bogor Selatan,Kota Bogor,16137,-6.6410733,106.8248083,NEGERI,A
,SMKS YAPINAS,20271865,Sukasari,Kec. Cibuaya,Kab. Karawang,41356,-6.3022,107.2802,SWASTA,B
,SMKS AN-NUUR PASALEMAN,69766974,Pasaleman,Kec. Pasaleman,Kab. Cirebon,45187,-6.6173,108.451,SWASTA,B
,SMKS BHAKTI KENCANA PANGANDARAN,60728541,DESA BABAKAN,KEC. PANGANDARAN,Kab. Pangandaran,46396,-7.681,108.6622,SWASTA,A
,SMK AL-ISLAM PACET,20228512,Maruyung,Kec. Pacet,Kab. Bandung,40385,-7.1049,107.7051,SWASTA,B
,SMKS DINAMIKA ARJAWINANGUN,20254049,Jungjang,Kec. Arjawinangun,Kab. Cirebon,45162,-6.6513,108.4222,SWASTA,A
,SMKS YAPPA DEPOK,20229237,Abadijaya,Kec. Sukmajaya,Kota Depok,16417,-6.3940283,106.8454617,SWASTA,A
,SMKS AL MANSHURIYAH,20253990,Salawu,Kec. Salawu,Kab. Tasikmalaya,46471,-7.3796,108.0334,SWASTA,A
,SMKS PASUNDAN PADAHERANG,20272134,DESA KARANGMULYA,KEC. PADAHERANG,Kab. Pangandaran,46384,-7.5156,108.6706,SWASTA,A
,SMK NURUL HUDA AL GINA,69893499,DESA BATUMALANG,KEC. CIMERAK,Kab. Pangandaran,46395,-7.786383,108.431399,SWASTA,B
,SMKS CITRA TRI TUNGGAL GARMENT KASOMALANG,69725871,SINDANGSARI,Kec. Kasomalang,Kab. Subang,41281,-6.7001,107.7395,SWASTA,B
,SMKS GALUH RAHAYU SINDANGKASIH,20254622,Sukaraja,Kec. Sindangkasih,Kab. Ciamis,46268,-7.2833,108.2122,SWASTA,A
,SMKS AL MUNAWAROH SUKASARI,20217027,Sukareja,Kec. Sukasari,Kab. Subang,41254,-6.2898,107.7936,SWASTA,A
,SMKS TARUNA BANGSA,20223128,Perwira,Kec. Bekasi Utara,Kota Bekasi,17122,-6.2063,107.0149,SWASTA,A
,SMK YADIKA 9 BINTARA,69901596,Bintara Jaya,Kec. Bekasi Barat,Kota Bekasi,17136,-6.2326,106.9697,SWASTA,A
,SMKS BINA SISWA 2,20279922,Rancapanggung,Kec. Cililin,Kab. Bandung Barat,40562,-6.9772,107.4276,SWASTA,B
,SMKS FADRIS,20244750,Jatihurip,Kec. Cisayong,Kab. Tasikmalaya,46153,-7.2664,108.1852,SWASTA,A
,SMKS NUR SYAFIIL UMMAH,20229748,Tegalmunjul,Kec. Purwakarta,Kab. Purwakarta,41116,-6.5376,107.4559,SWASTA,B
,SMKS PGRI 2 PALIMANAN CIREBON,20214807,Palimanan Timur,Kec. Palimanan,Kab. Cirebon,45161,-6.7262,108.4263,SWASTA,B
,SMKS PERSADA,20279822,Cihideung Ilir,Kec. Ciampea,Kab. Bogor,16620,-6.5694,106.7216,SWASTA,B
,SMK PGRI KLARI,20271592,Duren,Kec. Klari,Kab. Karawang,41371,-6.368539,107.369188,SWASTA,B
,SMKS BABUS SALAM PANGURAGAN,69769403,Panguragan,Kec. Panguragan,Kab. Cirebon,45164,-6.6273,108.4605,SWASTA,C
,SMKS YPII CILILIN,20268303,Batulayang,Kec. Cililin,Kab. Bandung Barat,40562,-6.9861,107.4394,SWASTA,B
,SMK AL-UZLAH,69883635,Ciherang,Kec. Pacet,Kab. Cianjur,43253,-6.752646,107.05247,SWASTA,B
,SMKS BINA PATRIOT,20252197,Karangmukti,Kec. Karang Bahagia,Kab. Bekasi,17530,-6.2164,107.2213,SWASTA,B
,SMK ISLAM TERPADU MIFTAHUSSUNAN ADDAIMIAH,69949780,Purabaya,Kec. Leles,Kab. Cianjur,43782,-7.3415,107.0281,SWASTA,B
,SMKS ASH SHOHEH 1 CITEUREUP,20232424,Citeureup,Kec. Citeureup,Kab. Bogor,16810,-6.4895,106.8821,SWASTA,A
,SMKS BHAKTI BANGSA,20280608,Bekasi Jaya,Kec. Bekasi Timur,Kota Bekasi,17113,-6.2509,107.0067,SWASTA,B
,SMK NEGERI 1 CIPATAT,69888924,Sarimukti,Kec. Cipatat,Kab. Bandung Barat,40754,-6.8142,107.3432,NEGERI,A
,SMK NEGERI 15 GARUT,69977456,Mekarsari,Kec. Cibalong,Kab. Garut,44176,-7.654536,107.751491,NEGERI,B
,SMKS AL FATONAH,20252874,Ciharashas,Kec. Cilaku,Kab. Cianjur,43285,-6.8575,107.1623,SWASTA,B
,SMKS TUGAS PRAKARSA SILIWANGI KEDAWUNG,20214819,Kertawinangun,Kec. Kedawung,Kab. Cirebon,45153,-6.717924,108.5348943,SWASTA,B
,SMK ATMANEGARA,69978339,Karangrahayu,Kec. Karang Bahagia,Kab. Bekasi,-,-6.239728,107.192508,SWASTA,Belum/Tidak Terakreditasi
,SMK KARYA PENA BANGSA,69948075,Sukamulya,Kec. Warungkondang,Kab. Cianjur,43261,-6.8909,107.1091,SWASTA,C
,SMKS TARUNA ANDIGHA,20220301,Kebonkelapa,Kec. Kota Bogor Tengah,Kota Bogor,16125,-6.5947,106.7855,SWASTA,A
,SMKS PGRI 2 KARAWANG,20217797,Tanjungpura,Kec. Karawang Barat,Kab. Karawang,41316,-6.2916,107.2908,SWASTA,A
,SMKS TERPADU YAPISA,20254149,Sukaresmi,Kec. Megamendung,Kab. Bogor,16770,-6.6894,106.9021,SWASTA,B
,SMK CIPTA MANDIRI,69883428,Ciasihan,Kec. Pamijahan,Kab. Bogor,16630,-6.6811,106.6552,SWASTA,B
,SMK MADANI CIHAMPELAS,69958271,Tanjungwangi,Kec. Cihampelas,Kab. Bandung Barat,40767,-6.953297,107.482211,SWASTA,B
,SMK TUNGGAL PRAKARSA,70015921,Bantar Jati,Kec. Klapanunggal,Kab. Bogor,-,-6.4661,106.9095,SWASTA,B
,SMK PLUS MAARIF NU PARIGI,69899974,DESA CINTARATU,KEC. PARIGI,Kab. Pangandaran,46393,-7.6843,108.5083,SWASTA,B
